arrival_times,severity_levels,start_times,departure_times,waiting_times
33.68054706073315,2,33.68054706073315,67.27312309046715,0.0
34.48584413178674,3,34.48584413178674,59.25755842188562,0.0
34.53003517599762,1,34.53003517599762,131.8303422055784,0.0
34.59000616122164,3,34.59000616122164,342.18377807274277,0.0
35.001864165402665,2,35.001864165402665,344.80682390741094,0.0
35.94472848816488,1,35.94472848816488,46.78492222998675,0.0
36.56818591806183,2,36.56818591806183,303.02460457141564,0.0
36.94876604704945,2,36.94876604704945,74.7789679223093,0.0
38.94299003133292,3,38.94299003133292,103.28046165891939,0.0
39.73062700482394,3,39.73062700482394,104.3307033664062,0.0
40.07024464570178,3,40.07024464570178,646.7074263687449,0.0
40.39911686634521,2,40.39911686634521,224.22700822102797,0.0
41.44526769843858,1,41.44526769843858,94.75233655535376,0.0
41.989653627985774,3,41.989653627985774,201.9957582320903,0.0
42.1073255443219,3,42.1073255443219,797.1002857702816,0.0
42.127919840936244,3,42.127919840936244,221.52050973201642,0.0
42.34863161367802,2,42.34863161367802,327.29051897215373,0.0
42.65965880346422,2,42.65965880346422,139.80983883059614,0.0
43.08203742458297,3,43.08203742458297,213.40508111896835,0.0
43.78597876833237,2,43.78597876833237,148.1410368314656,0.0
44.36527752003791,3,44.36527752003791,173.47757667506903,0.0
45.46629173380169,3,45.46629173380169,541.1061243910998,0.0
52.342437681177714,2,52.342437681177714,169.70771071803784,0.0
52.59507846175379,3,52.59507846175379,147.72238962069727,0.0
53.17517873876455,3,53.17517873876455,880.5775245769746,0.0
53.4916809470543,1,53.4916809470543,88.36356639688151,0.0
56.16494291961136,3,56.16494291961136,338.5066005036062,0.0
57.10218278669405,2,57.10218278669405,455.1774450499113,0.0
57.39430087661375,3,57.39430087661375,409.76205026525275,0.0
57.825022153801555,2,57.825022153801555,78.70987761790855,0.0
57.83402502924116,3,57.83402502924116,1069.6560312448364,0.0
58.97182247050269,2,58.97182247050269,224.9687465315535,0.0
